Label;Area;Major;Minor;Angle;Feret;Slice;FeretX;FeretY;FeretAngle;MinFeret;Scale_um;Scale_px
2022052506.tif_converted.tif:0525-0803;178618;933.525119850;243.617976813;0.454046929;901.055492187;1;353;540;0.635887093;243.757067735;500;115
2022052507.tif_converted.tif:0542-0813;172361;965.108805320;227.390777040;0.502164721;927.215724629;1;350;549;1.235963150;223.288464499;500;115
2022052508.tif_converted.tif:0547-0768;181225;1002.374717764;230.196185524;179.894193027;962.207877748;1;287;557;1.191008872;227.000000000;500;115
2022052509.tif_converted.tif:0486-0765;204748;1085.920098696;240.066696084;178.752299425;1037.030857786;1;247;484;0.442003031;237.641170952;500;115
2022052510.tif_converted.tif:0589-0807;222822;1072.649738373;264.490608339;179.068601145;1036.976856058;1;289;585;177.512847102;263.877594374;500;115
2022052511.tif_converted.tif:0587-0798;195976;992.688960116;251.362111441;0.157150676;968.012913137;1;314;598;0.295946642;253.832906926;500;115
2022052512.tif_converted.tif:0603-0860;167547;933.494192650;228.525755898;178.460094893;900.142210987;1;410;608;178.981515652;227.245121053;500;115
2022052513.tif_converted.tif:0526-0951;192981;1004.946320037;244.501657137;179.686849693;975.100507640;1;464;526;179.177347906;245.119771055;500;115
2022052514.tif_converted.tif:0538-0828;255512;1080.171808722;301.181700844;179.619690090;1066.270134628;1;295;518;178.710256622;302.130431390;500;115
2022052515.tif_converted.tif:0565-0812;272170;1090.564144781;317.759948875;177.869013577;1083.184656464;1;271;533;178.942026454;323.231029279;500;115
2022052516.tif_converted.tif:0568-0767;217468;948.894356686;291.801563961;179.446252027;937.090177091;1;299;555;179.205125563;293.194638846;500;115
2022052517.tif_converted.tif:0540-0786;234330;992.777846228;300.528686908;179.014831980;989.032355386;1;292;524;179.536545764;316.831536106;500;115
2022053101.tif_converted.tif:0542-0845;248427;1146.563052807;275.874126247;0.463043607;1113.404239259;1;289;542;1.543986790;281.181101021;500;115
2022053102.tif_converted.tif:0566-0917;244318;1120.864420795;277.531638367;178.986928345;1091.263946074;1;372;565;178.739801136;277.855106125;500;115
2022053103.tif_converted.tif:0553-0823;266325;1177.888759854;287.884164710;178.337266481;1141.424110487;1;253;531;177.137594774;288.857226256;500;115
2022053104.tif_converted.tif:0432-0878;244644;1157.092572782;269.200945982;176.866006821;1119.073277315;1;319;405;177.490431474;273.182631895;500;115
2022053105.tif_converted.tif:0544-0839;245396;1134.612926389;275.378399146;0.382776751;1102.065333816;1;288;537;0.623885826;281.543679492;500;115
2022053106.tif_converted.tif:0565-0880;242379;1098.918527944;280.827486084;179.320028166;1073.104841104;1;344;557;179.199086008;287.928437847;500;115
2022053107.tif_converted.tif:0547-0711;225129;1081.506287692;265.040664792;178.584154544;1043.276090016;1;190;543;178.681825420;264.084398325;500;115
2022053108.tif_converted.tif:0453-0819;259441;1212.032195972;272.542711178;0.029584008;1158.172698694;1;240;438;0.989466037;274.116277393;500;115
2022053109.tif_converted.tif:0592-0797;248911;1147.404956088;276.208784560;178.268617664;1114.162016944;1;240;561;179.022877674;276.853665341;500;115
2022053110.tif_converted.tif:0517-0753;254547;1073.537416134;301.898472771;179.732727345;1054.047437263;1;226;518;0.543586911;303.000000000;500;115
