Label,Length
2022092111+AF8-side.tif,885.030
2021121734+AF8-side.jpg,884.562
2022092309+AF8-side.tif,884.416
2021121727+AF8-side.jpg,884.392
2022050245+AF8-side.tif,884.197
2022050518+AF8-side.tif,884.071
2022031530+AF8-side.jpg,884.070
2022050246+AF8-side.tif,884.067
2022050241+AF8-side.tif,884.024
2022050218+AF8-side.tif,884.024
2022050442+AF8-side.tif,882.096
2022110216+AF8-side.tif,882.096
2022042910+AF8-side.tif,881.504
2022042920+AF8-side.tif,881.201
2021121744+AF8-side.jpg,880.987
2021121742+AF8-side.jpg,880.814
2022050336+AF8-side.tif,880.345
2022030424+AF8-side.tif,880.155
2022020202+AF8-side.jpg,879.920
2022050402+AF8-side.tif,879.579
2022020211+AF8-side.jpg,879.575
2022050614+AF8-side.jpg,879.334
2022050625+AF8-side.jpg,878.947
2022011417+AF8-side.jpg,878.304
2022021835+AF8-side.jpg,878.285
2022012807+AF8-side.jpg,878.261
2021122110+AF8-side.jpg,878.261
2021122107+AF8-side.jpg,878.261
2022021833+AF8-side.jpg,878.242
2022031538+AF8-side.jpg,876.367
2021121736+AF8-side.jpg,875.893
2022092313+AF8-side.tif,875.317
2022031547+AF8-side.jpg,875.317
2022031544+AF8-side.jpg,875.274
2022031525+AF8-side.jpg,875.274
2022050447+AF8-side.tif,873.537
2021120113+AF8-side.jpg,873.462
2022042826+AF8-side.tif,873.406
2022110208+AF8-side.tif,873.362
2022042816+AF8-side.tif,873.362
2022032428+AF8-side.tif,872.137
2022050428+AF8-side.tif,871.219
2022050605+AF8-side.jpg,869.737
2022042524+AF8-side.tif,869.562
2022080906+AF8-side.tif,868.820
2022080901+AF8-side.tif,868.598
2022092109+AF8-side.tif,867.720
2021121726+AF8-side.jpg,867.441
2021121716+AF8-side.jpg,867.051
2021121703+AF8-side.jpg,867.051
2022050207+AF8-side.tif,866.696
2022092322+AF8-side.tif,866.565
2022031526+AF8-side.jpg,866.565
2022050253+AF8-side.tif,866.563
2022050219+AF8-side.tif,866.563
2021120319+AF8-side.tif,865.618
2021120117+AF8-side.jpg,864.814
2022110204+AF8-side.tif,864.673
2022110202+AF8-side.tif,864.673
2022012106+AF8-side.tif,863.371
2022050330+AF8-side.tif,862.919
2022110306+AF8-side.tif,862.919
2022050620+AF8-side.jpg,862.447
2021120202+AF8-side.jpg,862.398
2022050418+AF8-side.tif,862.163
2022020219+AF8-side.jpg,862.159
2022050423+AF8-side.tif,862.119
2022011416+AF8-side.jpg,861.967
2021120201+AF8-side.jpg,861.521
2022050615+AF8-side.jpg,861.263
2022011419+AF8-side.jpg,861.045
2022021840+AF8-side.jpg,861.027
2021122105+AF8-side.jpg,860.913
2022032421+AF8-side.tif,860.870
2022012702+AF8-side.jpg,860.870
2022050603+AF8-side.jpg,860.868
2021120907+AF8-side.jpg,860.272
2022092104+AF8-side.tif,859.175
2022092308+AF8-side.tif,857.768
2021121506+AF8-side.jpg,856.796
2022021121+AF8-side.jpg,855.894
20230314+AC0-CantonS+AC0-profile13.tif,854.829
2022050409+AF8-side.tif,854.121
2021120908+AF8-side.jpg,854.067
2022050424+AF8-side.tif,853.455
2022050256+AF8-side.tif,853.401
2022032416+AF8-side.tif,852.883
2022011414+AF8-side.jpg,852.573
2021120203+AF8-side.jpg,852.523
2022032428+AF8-side.tif,852.351
2022032414+AF8-side.tif,852.218
2022021827+AF8-side.jpg,852.200
2022031547+AF8-side.jpg,852.174
2022031526+AF8-side.jpg,852.174
2022080911+AF8-side.tif,850.922
2022031534+AF8-side.jpg,850.638
2021121704+AF8-side.jpg,849.887
2022050255+AF8-side.tif,849.419
2021120321+AF8-side.tif,848.087
2021120204+AF8-side.jpg,847.954
2022110214+AF8-side.tif,847.207
2022021130+AF8-side.jpg,847.206
2022050451+AF8-side.tif,847.162
2022050443+AF8-side.tif,847.162
2022042809+AF8-side.tif,847.162
2022032414+AF8-side.tif,845.930
2021120322+AF8-side.tif,844.350
2022050617+AF8-side.jpg,843.880
2022012812+AF8-side.jpg,843.523
2021122109+AF8-side.jpg,843.523
2022031525+AF8-side.jpg,843.478
2022012806+AF8-side.jpg,843.478
2022012727+AF8-side.jpg,843.478
2021121735+AF8-side.jpg,842.156
2021121746+AF8-side.jpg,841.570
2021121740+AF8-side.jpg,841.084
2021120801+AF8-side.jpg,840.959
2022092310+AF8-side.tif,840.263
2022031533+AF8-side.jpg,840.263
2022031524+AF8-side.jpg,840.263
2021120315+AF8-side.tif,839.390
2021120318+AF8-side.tif,839.344
2022050449+AF8-side.tif,838.837
2022050422+AF8-side.tif,837.625
2022031811+AF8-side.jpg,837.618
2022050344+AF8-side.tif,837.325
2022031810+AF8-side.jpg,837.209
2022020220+AF8-side.jpg,836.172
2022050426+AF8-side.tif,836.040
2022020209+AF8-side.jpg,836.036
2021121505+AF8-side.jpg,834.883
2022031533+AF8-side.jpg,834.828
2022011407+AF8-side.jpg,834.828
2022031544+AF8-side.jpg,834.783
2022031528+AF8-side.jpg,831.694
2022031541+AF8-side.jpg,831.510
2022050444+AF8-side.tif,829.740
2022042817+AF8-side.tif,829.694
2022050339+AF8-side.tif,828.068
2022050354+AF8-side.tif,827.931
2022031534+AF8-side.jpg,827.733
2022020213+AF8-side.jpg,827.282
2022011421+AF8-side.jpg,826.133
2022032401+AF8-side.tif,826.087
2022031811+AF8-side.jpg,826.087
2022031810+AF8-side.jpg,826.087
2022012808+AF8-side.jpg,826.087
2022092110+AF8-side.tif,824.704
2022080902+AF8-side.tif,824.608
2022092314+AF8-side.tif,822.804
2022050446+AF8-side.tif,821.146
2022050431+AF8-side.tif,818.994
2022020216+AF8-side.jpg,818.759
2022020214+AF8-side.jpg,818.574
2022012811+AF8-side.jpg,817.807
2022011406+AF8-side.jpg,817.576
2022031524+AF8-side.jpg,817.391
2022011423+AF8-side.jpg,817.391
2022011410+AF8-side.jpg,817.391
2022031546+AF8-side.jpg,814.051
2022031542+AF8-side.jpg,814.004
2021120317+AF8-side.tif,813.115
2022032401+AF8-side.tif,811.047
2022020217+AF8-side.jpg,809.866
2022031542+AF8-side.jpg,808.883
2022011408+AF8-side.jpg,808.883
2022021111+AF8-side.jpg,808.742
2022031535+AF8-side.jpg,808.696
2022012729+AF8-side.jpg,808.696
2022011422+AF8-side.jpg,808.696
2022011420+AF8-side.jpg,808.696
2022050204+AF8-side.tif,805.440
2022012815+AF8-side.jpg,804.395
2022050450+AF8-side.tif,803.541
2022042808+AF8-side.tif,803.541
2022042813+AF8-side.tif,803.493
2022042917+AF8-side.tif,802.514
2022042918+AF8-side.tif,802.372
2022050333+AF8-side.tif,801.078
2022032422+AF8-side.tif,800.047
2022031546+AF8-side.jpg,800.047
2022031541+AF8-side.jpg,800.047
2022032410+AF8-side.tif,800.000
2022092321+AF8-side.tif,796.691
2022050205+AF8-side.tif,796.689
2022031535+AF8-side.jpg,796.499
2022050448+AF8-side.tif,794.952
2022042811+AF8-side.tif,794.760
2022032422+AF8-side.tif,793.653
2022031808+AF8-side.jpg,793.653
2022012115+AF8-side.tif,793.652
2022032410+AF8-side.tif,793.605
2022011402+AF8-side.jpg,791.734
2022031807+AF8-side.jpg,791.352
2022012726+AF8-side.jpg,791.352
2021122112+AF8-side.jpg,791.304
2022030815+AF8-side.tif,791.302
2021120905+AF8-side.jpg,790.404
2022031807+AF8-side.jpg,787.978
2022031537+AF8-side.jpg,787.746
2022042829+AF8-side.tif,786.026
2022031528+AF8-side.jpg,783.381
2022012718+AF8-side.jpg,782.802
2022031812+AF8-side.jpg,782.609
2022031537+AF8-side.jpg,782.609
2022012715+AF8-side.jpg,782.609
2022032411+AF8-side.tif,776.946
2022032408+AF8-side.tif,776.163
2022050445+AF8-side.tif,769.005
2022012102+AF8-side.tif,767.491
2022042915+AF8-side.tif,767.491
2022031812+AF8-side.jpg,767.491
2022031105+AF8-side.tif,765.265
2022032408+AF8-side.tif,765.217
2022050618+AF8-side.jpg,765.216
2022050211+AF8-side.tif,761.536
2022012111+AF8-side.tif,758.921
2022042916+AF8-side.tif,758.921
2022012110+AF8-side.tif,758.770
2022012103+AF8-side.tif,758.770
2022032411+AF8-side.tif,757.770
2022031808+AF8-side.jpg,756.522
2022011401+AF8-side.jpg,756.522
2022050206+AF8-side.tif,752.937
2022012805+AF8-side.jpg,748.028
2022011409+AF8-side.jpg,748.028
2022030817+AF8-side.tif,748.027
2022031806+AF8-side.jpg,747.826
2022031806+AF8-side.jpg,741.279
2022050619+AF8-side.jpg,740.406
2022011403+AF8-side.jpg,739.130
2022031106+AF8-side.tif,739.129
2022031103+AF8-side.tif,739.129
2022050215+AF8-side.tif,735.280
2022031504+AF8-side.jpg,735.228
2022050216+AF8-side.tif,726.528
2022031102+AF8-side.tif,721.790
2022011411+AF8-side.jpg,721.739
2022011404+AF8-side.jpg,721.739
2022030813+AF8-side.tif,721.737
2022012107+AF8-side.tif,715.169
2022031101+AF8-side.tif,713.042
2022030812+AF8-side.tif,713.042
2022050221+AF8-side.tif,709.186
2022031509+AF8-side.jpg,709.024
2022050217+AF8-side.tif,708.970
2021120904+AF8-side.jpg,707.477
2022050214+AF8-side.tif,700.709
2022012105+AF8-side.tif,697.728
2022030816+AF8-side.tif,695.651
2022031501+AF8-side.jpg,692.848
2022031505+AF8-side.jpg,691.464
2022031510+AF8-side.jpg,685.860
2022012101+AF8-side.tif,680.288
2022031802+AF8-side.jpg,680.233
2022031503+AF8-side.jpg,674.016
2021122113+AF8-side.jpg,669.622
2022031502+AF8-side.jpg,665.264
2022012108+AF8-side.tif,662.790
2022031802+AF8-side.jpg,660.870
2022031506+AF8-side.jpg,652.297
2022031801+AF8-side.jpg,652.174
2022031801+AF8-side.jpg,636.628
2022030811+AF8-side.tif,626.327
2021120102+AF8-side.jpg,597.286
2022040815+AF8-side.jpg,240.133
2022021808+AF8-side.jpg,1460.864
2022050527+AF8-side.tif,1440.384
2022021811+AF8-side.jpg,1434.857
2022050303+AF8-side.tif,1394.359
2022042108+AF8-side.tif,1386.059
2022050225+AF8-side.tif,1365.536
2022021813+AF8-side.jpg,1356.493
2022050530+AF8-side.tif,1355.933
2022020402+AF8-side.jpg,1352.189
2022012725+AF8-side.jpg,1347.826
2022050223+AF8-side.tif,1339.194
2022021807+AF8-side.jpg,1339.130
2022020407+AF8-side.jpg,1334.753
2022020803+AF8-side.jpg,1334.325
2022042110+AF8-side.tif,1333.333
2022012724+AF8-side.jpg,1330.548
2022050230+AF8-side.tif,1330.441
2022050236+AF8-side.tif,1321.689
2022050231+AF8-side.tif,1321.689
2022050232+AF8-side.tif,1313.636
2022050228+AF8-side.tif,1313.024
2022030402+AF8-side.tif,1313.016
2022021822+AF8-side.jpg,1313.016
2022031112+AF8-side.tif,1304.461
2022030401+AF8-side.tif,1304.436
2022050235+AF8-side.tif,1295.875
2022021818+AF8-side.jpg,1287.663
2022050234+AF8-side.tif,1286.768
2022050305+AF8-side.tif,1281.072
2022020406+AF8-side.jpg,1273.280
2022050452+AF8-side.tif,1266.406
2022021824+AF8-side.jpg,1260.963
2022050233+AF8-side.tif,1260.421
2022050226+AF8-side.tif,1260.391
2022020802+AF8-side.jpg,1255.809
2022042111+AF8-side.tif,1254.902
2022050634+AF8-side.jpg,1253.257
2022012722+AF8-side.jpg,1252.204
2022031516+AF8-side.jpg,1243.659
2022031517+AF8-side.jpg,1243.509
2022012723+AF8-side.jpg,1243.509
2022021107+AF8-side.jpg,1243.509
2022050227+AF8-side.tif,1243.378
2022050528+AF8-side.tif,1242.747
2022050224+AF8-side.tif,1234.133
2022050455+AF8-side.tif,1231.441
2022030404+AF8-side.tif,1229.141
2022042243+AF8-side.tif,1226.852
2022021809+AF8-side.jpg,1226.338
2022021821+AF8-side.jpg,1226.092
2022050634+AF8-side.jpg,1222.707
2022020401+AF8-side.jpg,1220.956
2022030403+AF8-side.tif,1217.396
2022050229+AF8-side.tif,1216.659
2022020404+AF8-side.jpg,1212.204
2022021819+AF8-side.jpg,1208.951
2022021105+AF8-side.jpg,1208.821
2022031516+AF8-side.jpg,1208.696
2022020403+AF8-side.jpg,1203.989
2022031820+AF8-side.jpg,1200.126
2023042806+AF8-side.tif,1195.721
2022031825+AF8-side.jpg,1194.895
2022012720+AF8-side.jpg,1192.097
2022021117+AF8-side.jpg,1192.097
2022021104+AF8-side.jpg,1191.336
2022021114+AF8-side.jpg,1191.304
2022040839+AF8-side.jpg,1189.580
2022041501+AF8-side.tif,1184.448
2022031825+AF8-side.jpg,1182.896
2022021116+AF8-side.jpg,1182.737
2022021812+AF8-side.jpg,1182.711
2022021115+AF8-side.jpg,1182.609
2022042213+AF8-side.tif,1177.799
2022031820+AF8-side.jpg,1177.455
2022042504+AF8-side.tif,1174.198
2022021820+AF8-side.jpg,1173.920
2022021106+AF8-side.jpg,1173.913
2022050531+AF8-side.tif,1172.137
2023042803+AF8-side.tif,1166.799
2022030411+AF8-side.tif,1165.225
2022021826+AF8-side.jpg,1165.225
2022021814+AF8-side.jpg,1165.225
2022021113+AF8-side.jpg,1165.217
2022040811+AF8-side.jpg,1164.049
2022040810+AF8-side.jpg,1164.049
2022040821+AF8-side.jpg,1159.912
2022050310+AF8-side.tif,1159.039
2023042811+AF8-side.tif,1157.895
2022050314+AF8-side.tif,1151.940
2022050308+AF8-side.tif,1151.940
2022042501+AF8-side.tif,1148.118
2022042204+AF8-side.tif,1147.854
2022031815+AF8-side.jpg,1147.826
2022042236+AF8-side.tif,1147.821
2022040829+AF8-side.jpg,1146.198
2022042240+AF8-side.tif,1144.721
2022031815+AF8-side.jpg,1142.442
2022050306+AF8-side.tif,1141.743
2022041527+AF8-side.tif,1141.645
2022041507+AF8-side.tif,1140.912
2022042241+AF8-side.tif,1139.955
2022050302+AF8-side.tif,1134.536
2022040811+AF8-side.jpg,1133.716
2022042104+AF8-side.tif,1133.032
2022042202+AF8-side.tif,1130.965
2022031821+AF8-side.jpg,1130.468
2022021118+AF8-side.jpg,1130.468
2022021801+AF8-side.jpg,1130.411
2022040838+AF8-side.jpg,1129.333
2022040833+AF8-side.jpg,1129.333
2022040808+AF8-side.jpg,1128.932
2022040837+AF8-side.jpg,1128.832
2022031515+AF8-side.jpg,1126.077
2022031821+AF8-side.jpg,1125.135
2022041528+AF8-side.tif,1124.723
2022042106+AF8-side.tif,1124.183
2022042105+AF8-side.tif,1124.183
2021120809+AF8-side.jpg,1122.405
