Label,Area,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Scale+AF8-um,Scale+AF8-px
2022042760.tif+AF8-converted.tif:0544+AC0-0810,135250,731.222763119,235.503675639,174.954246712,724.400441745,1,451,486,171.265864559,235.824873013,1000,230
2022042762.tif+AF8-converted.tif:0570+AC0-0903,145629,752.500264430,246.406028576,178.745388473,743.043067392,1,532,566,179.383111004,247.279676031,1000,230
2022042801.tif+AF8-converted.tif:0561+AC0-0852,128171,706.169386285,231.095242668,1.414309864,701.377216625,1,502,596,1.879215915,234.706799636,1000,230
2022042802.tif+AF8-converted.tif:0545+AC0-0856,141731,752.260179364,239.887101385,1.071943213,744.010752610,1,484,547,179.691961143,243.438434708,1000,230
2022042803.tif+AF8-converted.tif:0559+AC0-0807,136373,732.076850324,237.182061361,1.632469069,725.275809606,1,445,572,1.580172473,241.528770305,1000,230
2022042804.tif+AF8-converted.tif:0542+AC0-0823,128719,714.503604943,229.376198839,178.950551824,705.516831833,1,471,524,177.806765424,231.000000000,1000,230
2022042805.tif+AF8-converted.tif:0447+AC0-0929,139134,739.157541439,239.665972253,177.606825209,731.273546629,1,564,458,178.432790984,240.942042216,1000,230
2022042806.tif+AF8-converted.tif:0523+AC0-0816,135889,712.035837318,242.992331884,179.715714063,707.101831422,1,463,514,179.027604893,246.673662590,1000,230
2022042807.tif+AF8-converted.tif:0517+AC0-0868,132102,710.749156424,236.648174420,178.442564854,692.694016143,1,522,509,177.434996481,236.000000000,1000,230
2022042808.tif+AF8-converted.tif:0590+AC0-0863,108771,643.200222936,215.316372075,178.514493414,631.095872273,1,548,592,179.001284085,215.916764972,1000,230
2022042809.tif+AF8-converted.tif:0583+AC0-0766,106455,636.605837526,212.914660446,1.998727937,623.205423596,1,455,584,1.471157305,209.509888974,1000,230
2022042811.tif+AF8-converted.tif:0554+AC0-0940,97567,597.689681002,207.843914007,176.557150434,582.310054868,1,649,559,178.130183298,206.661191010,1000,230
2022042812.tif+AF8-converted.tif:0552+AC0-0942,119603,672.082968398,226.584032671,176.793889327,659.303420285,1,613,537,178.261663180,227.921610239,1000,230
2022042813.tif+AF8-converted.tif:0550+AC0-0826,107723,631.784443552,217.094904563,175.904494213,621.225401928,1,516,533,176.400652963,215.594389341,1000,230
2022042814.tif+AF8-converted.tif:0644+AC0-0808,104624,607.659779321,219.220390524,179.543965729,596.242400371,1,510,634,178.366167403,218.000000000,1000,230
2022042815.tif+AF8-converted.tif:0598+AC0-0871,90956,568.753595832,203.618538642,2.204144998,560.357029045,1,591,615,2.045408489,203.548172203,1000,230
2022042816.tif+AF8-converted.tif:0486+AC0-0723,116771,660.370539866,225.142470632,178.985410761,650.339142294,1,398,477,178.149549231,224.780247674,1000,230
2022042817.tif+AF8-converted.tif:0583+AC0-0810,118501,673.106789767,224.154861583,0.620514741,657.194796084,1,482,588,1.395055261,223.478169423,1000,230
2022042818.tif+AF8-converted.tif:0570+AC0-0716,124400,693.694456837,228.329631013,0.857892750,674.074179894,1,379,572,179.149976619,229.180318023,1000,230
2022042820.tif+AF8-converted.tif:0651+AC0-0990,118730,679.811256017,222.373092249,0.719930252,676.036241632,1,652,643,179.406721712,234.394017625,1000,230
2022042821.tif+AF8-converted.tif:0503+AC0-0753,130237,697.654347607,237.686325838,179.109240956,687.142634393,1,410,500,178.832562005,240.667040534,1000,230
2022042823.tif+AF8-converted.tif:0535+AC0-0767,143952,747.077158708,245.336611898,175.778270736,733.742461631,1,401,508,177.422258048,247.152038381,1000,230
2022042824.tif+AF8-converted.tif:0590+AC0-0833,131145,720.666162019,231.700902435,176.696097406,703.518301112,1,482,568,177.800531900,228.747143468,1000,230
2022042825.tif+AF8-converted.tif:0552+AC0-0869,106364,611.222719275,221.567109117,176.889987496,599.654066942,1,570,547,177.323681345,223.000000000,1000,230
2022042826.tif+AF8-converted.tif:0552+AC0-0958,118868,655.630255182,230.842669336,177.451520909,645.651608842,1,636,543,177.425644452,232.566102371,1000,230
2022042827.tif+AF8-converted.tif:0453+AC0-0830,132251,717.175356210,234.792232573,0.291087154,703.409553532,1,479,453,1.955284291,237.000000000,1000,230
2022042828.tif+AF8-converted.tif:0492+AC0-0833,136903,719.019769084,242.427706285,178.690136543,707.679305901,1,480,475,177.489346252,246.304568295,1000,230
2022042829.tif+AF8-converted.tif:0568+AC0-0774,97599,609.029016214,204.041027633,178.683195301,599.441406645,1,475,554,177.801075351,204.983908538,1000,230
2022042830.tif+AF8-converted.tif:0591+AC0-0853,143709,735.552924051,248.759777511,177.785270833,724.706837280,1,491,571,177.469236982,251.871806768,1000,230
2022042901.tif+AF8-converted.tif:0744+AC0-0787,108129,571.583996947,240.864194008,177.586746071,581.495485795,1,497,731,177.634565626,252.927027457,1000,230
2022042902.tif+AF8-converted.tif:0520+AC0-0943,100105,521.295256883,244.501830667,176.334238764,534.147919588,1,677,501,176.243006870,257.494129165,1000,230
2022042903.tif+AF8-converted.tif:0546+AC0-0850,106740,562.395555830,241.654806117,3.231090810,566.551851113,1,567,565,2.529088453,248.419019655,1000,230
